HDI Statistic,Country,Omnivoricity (Median User SD), Index Value
Income Index,AE,0.136363636,0.957
Income Index,AR,0.152392388,0.772
Income Index,AT,0.147736739,0.905
Income Index,AU,0.141402031,0.915
Income Index,BR,0.133499896,0.747
Income Index,CH,0.15277397,0.944
Income Index,CL,0.152422283,0.793
Income Index,CN,0.234652356,0.695
Income Index,DE,0.14919365,0.912
Income Index,ES,0.171558318,0.867
Income Index,FI,0.160674598,0.9
Income Index,FR,0.113383557,0.893
Income Index,GB,0.149342751,0.886
Income Index,ID,0.241475416,0.666
Income Index,IE,0.139511078,0.884
Income Index,IN,0.160833054,0.586
Income Index,IT,0.163663418,0.879
Income Index,MX,0.146788465,0.762
Income Index,MY,0.139766725,0.804
Income Index,NL,0.142939108,0.917
Income Index,NO,0.149889806,0.972
Income Index,PL,0.155120921,0.806
Income Index,PT,0.151846173,0.833
Income Index,RU,0.163299316,0.813
Income Index,SE,0.157543469,0.915
Income Index,SG,0.140883883,0.993
Income Index,TR,0.178730088,0.783
Income Index,ZA,0.137561316,0.718
Education Index,AE,0.136363636,0.672
Education Index,AR,0.152392388,0.783
Education Index,AT,0.147736739,0.922
Education Index,AU,0.141402031,0.794
Education Index,BR,0.133499896,0.661
Education Index,CH,0.15277397,0.844
Education Index,CL,0.152422283,0.746
Education Index,CN,0.234652356,0.61
Education Index,DE,0.14919365,0.884
Education Index,ES,0.171558318,0.792
Education Index,FI,0.160674598,0.815
Education Index,FR,0.113383557,0.813
Education Index,GB,0.149342751,0.86
Education Index,ID,0.241475416,0.603
Education Index,IE,0.139511078,0.887
Education Index,IN,0.160833054,0.473
Education Index,IT,0.163663418,0.79
Education Index,MX,0.146788465,0.636
Education Index,MY,0.139766725,0.671
Education Index,NL,0.142939108,0.892
Education Index,NO,0.149889806,0.91
Education Index,PL,0.155120921,0.823
Education Index,PT,0.151846173,0.72
Education Index,RU,0.163299316,0.78
Education Index,SE,0.157543469,0.83
Education Index,SG,0.140883883,0.759
Education Index,TR,0.178730088,0.648
Education Index,ZA,0.137561316,0.687
HDI 2010,AE,0.136363636,0.824
HDI 2010,AR,0.152392388,0.804
HDI 2010,AT,0.147736739,0.928
HDI 2010,AU,0.141402031,0.879
HDI 2010,BR,0.133499896,0.74
HDI 2010,CH,0.15277397,0.914
HDI 2010,CL,0.152422283,0.815
HDI 2010,CN,0.234652356,0.71
HDI 2010,DE,0.14919365,0.908
HDI 2010,ES,0.171558318,0.868
HDI 2010,FI,0.160674598,0.879
HDI 2010,FR,0.113383557,0.882
HDI 2010,GB,0.149342751,0.891
HDI 2010,ID,0.241475416,0.678
HDI 2010,IE,0.139511078,0.9
HDI 2010,IN,0.160833054,0.581
HDI 2010,IT,0.163663418,0.872
HDI 2010,MX,0.146788465,0.752
HDI 2010,MY,0.139766725,0.768
HDI 2010,NL,0.142939108,0.914
HDI 2010,NO,0.149889806,0.941
HDI 2010,PL,0.155120921,0.83
HDI 2010,PT,0.151846173,0.819
HDI 2010,RU,0.163299316,0.775
HDI 2010,SE,0.157543469,0.896
HDI 2010,SG,0.140883883,0.896
HDI 2010,TR,0.178730088,0.752
HDI 2010,ZA,0.137561316,0.646