X-head Subgroup,Proportion,Percent
Blues,1.00,0.22
Blues,0.95,0.045
Blues,0.90,0.064
Blues,0.85,0.055
Blues,0.80,0.036
Blues,0.75,0.043
Blues,0.70,0.04
Blues,0.65,0.055
Blues,0.60,0.051
Blues,0.55,0.08
Blues,0.50,0.083
Blues,0.45,0.059
Blues,0.40,0.061
Blues,0.35,0.047
Blues,0.30,0.032
Blues,0.25,0.022
Blues,0.20,0.008
Blues,0.15,0.001
Blues,0.10,0.0
Blues,0.05,0.0
Blues,0.00,0.0
Bollywood,1.00,0.047
Bollywood,0.95,0.019
Bollywood,0.90,0.03
Bollywood,0.85,0.025
Bollywood,0.80,0.038
Bollywood,0.75,0.048
Bollywood,0.70,0.064
Bollywood,0.65,0.083
Bollywood,0.60,0.101
Bollywood,0.55,0.123
Bollywood,0.50,0.133
Bollywood,0.45,0.116
Bollywood,0.40,0.088
Bollywood,0.35,0.052
Bollywood,0.30,0.025
Bollywood,0.25,0.007
Bollywood,0.20,0.001
Bollywood,0.15,0.0
Bollywood,0.10,0.0
Bollywood,0.05,0.0
Bollywood,0.00,0.0
Classical,1.00,0.223
Classical,0.95,0.074
Classical,0.90,0.056
Classical,0.85,0.041
Classical,0.80,0.046
Classical,0.75,0.04
Classical,0.70,0.046
Classical,0.65,0.051
Classical,0.60,0.06
Classical,0.55,0.071
Classical,0.50,0.069
Classical,0.45,0.059
Classical,0.40,0.057
Classical,0.35,0.048
Classical,0.30,0.033
Classical,0.25,0.019
Classical,0.20,0.006
Classical,0.15,0.001
Classical,0.10,0.0
Classical,0.05,0.0
Classical,0.00,0.0
Country and Western,1.00,0.178
Country and Western,0.95,0.058
Country and Western,0.90,0.058
Country and Western,0.85,0.037
Country and Western,0.80,0.047
Country and Western,0.75,0.041
Country and Western,0.70,0.043
Country and Western,0.65,0.049
Country and Western,0.60,0.054
Country and Western,0.55,0.074
Country and Western,0.50,0.086
Country and Western,0.45,0.069
Country and Western,0.40,0.074
Country and Western,0.35,0.06
Country and Western,0.30,0.043
Country and Western,0.25,0.022
Country and Western,0.20,0.007
Country and Western,0.15,0.001
Country and Western,0.10,0.0
Country and Western,0.05,0.0
Country and Western,0.00,0.0
Dance,1.00,0.152
Dance,0.95,0.063
Dance,0.90,0.049
Dance,0.85,0.042
Dance,0.80,0.044
Dance,0.75,0.043
Dance,0.70,0.05
Dance,0.65,0.056
Dance,0.60,0.06
Dance,0.55,0.074
Dance,0.50,0.083
Dance,0.45,0.075
Dance,0.40,0.078
Dance,0.35,0.063
Dance,0.30,0.044
Dance,0.25,0.021
Dance,0.20,0.005
Dance,0.15,0.0
Dance,0.10,0.0
Dance,0.05,0.0
Dance,0.00,0.0
Electronica,1.00,0.222
Electronica,0.95,0.05
Electronica,0.90,0.055
Electronica,0.85,0.034
Electronica,0.80,0.035
Electronica,0.75,0.036
Electronica,0.70,0.042
Electronica,0.65,0.045
Electronica,0.60,0.056
Electronica,0.55,0.068
Electronica,0.50,0.084
Electronica,0.45,0.063
Electronica,0.40,0.069
Electronica,0.35,0.056
Electronica,0.30,0.045
Electronica,0.25,0.026
Electronica,0.20,0.009
Electronica,0.15,0.001
Electronica,0.10,0.0
Electronica,0.05,0.0
Electronica,0.00,0.0
Folk/Roots,1.00,0.188
Folk/Roots,0.95,0.046
Folk/Roots,0.90,0.054
Folk/Roots,0.85,0.038
Folk/Roots,0.80,0.046
Folk/Roots,0.75,0.043
Folk/Roots,0.70,0.051
Folk/Roots,0.65,0.06
Folk/Roots,0.60,0.062
Folk/Roots,0.55,0.077
Folk/Roots,0.50,0.089
Folk/Roots,0.45,0.074
Folk/Roots,0.40,0.065
Folk/Roots,0.35,0.046
Folk/Roots,0.30,0.035
Folk/Roots,0.25,0.017
Folk/Roots,0.20,0.007
Folk/Roots,0.15,0.001
Folk/Roots,0.10,0.0
Folk/Roots,0.05,0.0
Folk/Roots,0.00,0.0
Indie/Alternative,1.00,0.213
Indie/Alternative,0.95,0.032
Indie/Alternative,0.90,0.06
Indie/Alternative,0.85,0.037
Indie/Alternative,0.80,0.037
Indie/Alternative,0.75,0.038
Indie/Alternative,0.70,0.041
Indie/Alternative,0.65,0.049
Indie/Alternative,0.60,0.054
Indie/Alternative,0.55,0.07
Indie/Alternative,0.50,0.085
Indie/Alternative,0.45,0.069
Indie/Alternative,0.40,0.07
Indie/Alternative,0.35,0.061
Indie/Alternative,0.30,0.047
Indie/Alternative,0.25,0.028
Indie/Alternative,0.20,0.008
Indie/Alternative,0.15,0.001
Indie/Alternative,0.10,0.0
Indie/Alternative,0.05,0.0
Indie/Alternative,0.00,0.0
Jazz,1.00,0.221
Jazz,0.95,0.054
Jazz,0.90,0.06
Jazz,0.85,0.038
Jazz,0.80,0.043
Jazz,0.75,0.042
Jazz,0.70,0.043
Jazz,0.65,0.054
Jazz,0.60,0.056
Jazz,0.55,0.067
Jazz,0.50,0.074
Jazz,0.45,0.058
Jazz,0.40,0.06
Jazz,0.35,0.05
Jazz,0.30,0.042
Jazz,0.25,0.026
Jazz,0.20,0.011
Jazz,0.15,0.002
Jazz,0.10,0.0
Jazz,0.05,0.0
Jazz,0.00,0.0
Latin Music,1.00,0.12
Latin Music,0.95,0.036
Latin Music,0.90,0.03
Latin Music,0.85,0.025
Latin Music,0.80,0.029
Latin Music,0.75,0.033
Latin Music,0.70,0.04
Latin Music,0.65,0.05
Latin Music,0.60,0.062
Latin Music,0.55,0.08
Latin Music,0.50,0.094
Latin Music,0.45,0.095
Latin Music,0.40,0.101
Latin Music,0.35,0.093
Latin Music,0.30,0.071
Latin Music,0.25,0.034
Latin Music,0.20,0.008
Latin Music,0.15,0.0
Latin Music,0.10,0.0
Latin Music,0.05,0.0
Latin Music,0.00,0.0
Mandarin Pop,1.00,0.224
Mandarin Pop,0.95,0.094
Mandarin Pop,0.90,0.107
Mandarin Pop,0.85,0.079
Mandarin Pop,0.80,0.079
Mandarin Pop,0.75,0.071
Mandarin Pop,0.70,0.066
Mandarin Pop,0.65,0.061
Mandarin Pop,0.60,0.056
Mandarin Pop,0.55,0.051
Mandarin Pop,0.50,0.045
Mandarin Pop,0.45,0.03
Mandarin Pop,0.40,0.02
Mandarin Pop,0.35,0.01
Mandarin Pop,0.30,0.005
Mandarin Pop,0.25,0.002
Mandarin Pop,0.20,0.0
Mandarin Pop,0.15,0.0
Mandarin Pop,0.10,0.0
Mandarin Pop,0.05,0.0
Mandarin Pop,0.00,0.0
Metal,1.00,0.193
Metal,0.95,0.044
Metal,0.90,0.047
Metal,0.85,0.035
Metal,0.80,0.038
Metal,0.75,0.039
Metal,0.70,0.045
Metal,0.65,0.052
Metal,0.60,0.06
Metal,0.55,0.071
Metal,0.50,0.081
Metal,0.45,0.073
Metal,0.40,0.077
Metal,0.35,0.065
Metal,0.30,0.049
Metal,0.25,0.025
Metal,0.20,0.007
Metal,0.15,0.0
Metal,0.10,0.0
Metal,0.05,0.0
Metal,0.00,0.0
Pop,1.00,0.108
Pop,0.95,0.042
Pop,0.90,0.042
Pop,0.85,0.036
Pop,0.80,0.043
Pop,0.75,0.049
Pop,0.70,0.057
Pop,0.65,0.069
Pop,0.60,0.079
Pop,0.55,0.095
Pop,0.50,0.106
Pop,0.45,0.096
Pop,0.40,0.082
Pop,0.35,0.054
Pop,0.30,0.03
Pop,0.25,0.011
Pop,0.20,0.002
Pop,0.15,0.0
Pop,0.10,0.0
Pop,0.05,0.0
Pop,0.00,0.0
Rap/Hip Hop,1.00,0.194
Rap/Hip Hop,0.95,0.051
Rap/Hip Hop,0.90,0.042
Rap/Hip Hop,0.85,0.032
Rap/Hip Hop,0.80,0.034
Rap/Hip Hop,0.75,0.036
Rap/Hip Hop,0.70,0.04
Rap/Hip Hop,0.65,0.046
Rap/Hip Hop,0.60,0.055
Rap/Hip Hop,0.55,0.069
Rap/Hip Hop,0.50,0.079
Rap/Hip Hop,0.45,0.074
Rap/Hip Hop,0.40,0.083
Rap/Hip Hop,0.35,0.072
Rap/Hip Hop,0.30,0.056
Rap/Hip Hop,0.25,0.028
Rap/Hip Hop,0.20,0.007
Rap/Hip Hop,0.15,0.001
Rap/Hip Hop,0.10,0.0
Rap/Hip Hop,0.05,0.0
Rap/Hip Hop,0.00,0.0
Rock,1.00,0.166
Rock,0.95,0.042
Rock,0.90,0.04
Rock,0.85,0.032
Rock,0.80,0.034
Rock,0.75,0.036
Rock,0.70,0.042
Rock,0.65,0.051
Rock,0.60,0.059
Rock,0.55,0.075
Rock,0.50,0.085
Rock,0.45,0.081
Rock,0.40,0.087
Rock,0.35,0.075
Rock,0.30,0.058
Rock,0.25,0.029
Rock,0.20,0.007
Rock,0.15,0.001
Rock,0.10,0.0
Rock,0.05,0.0
Rock,0.00,0.0
World,1.00,0.127
World,0.95,0.034
World,0.90,0.055
World,0.85,0.038
World,0.80,0.035
World,0.75,0.04
World,0.70,0.046
World,0.65,0.054
World,0.60,0.061
World,0.55,0.077
World,0.50,0.094
World,0.45,0.081
World,0.40,0.087
World,0.35,0.073
World,0.30,0.058
World,0.25,0.031
World,0.20,0.008
World,0.15,0.001
World,0.10,0.0
World,0.05,0.0
World,0.00,0.0